compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Firazorexton,Orexin-2 agonist,Orexin-2 (OX2) receptor,Narcolepsy,Phase 2,,2021,Drug-induced liver injury,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CC(C)(C(=O)N1CC[C@@H]([C@@H]1CC2=C(C(=CC=C2)C3=CC(=CC(=C3)F)F)F)NS(=O)(=O)C)O,CC(C)(C(=O)N1CCCH(CH1CC2=C(C(=CC=C2)C3=CC(=CC(=C3)F)F)F)NS(=O)(=O)C)O,VOSAWOSMGPKQEQ-OALUTQOASA-N,137460733,OK,15,"An exemplary display of modern CNS medicinal chemistry. The molecule utilizes a pyrrolidine core to introduce Fsp3 character (3D complexity), breaking planarity and enhancing solubility without relying on excessive polarity. The lipophilicity is perfectly balanced by the sulfonamide and hydroxyl handles, keeping the TPSA within the blood-brain barrier sweet spot (<90 Å²). The fluorination on the biaryl system metabolically hardens the aromatic rings against oxidation. No structural alerts detected. This is a 'Goldilocks' candidate.",High,None identified (Clean),0.85,"Clean structure, low tox risk.",0.6,High potency and good PK predicted.,0.4,Strong commercial viability.,0.204,,2021.0
Fasiglifam,GPR40 agonist,G protein-coupled receptor 40 (GPR40),T2D,Phase 3,,2013,Idiosyncratic DILI,clinical_failure,Metabolic,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)[C@@H](CO4)CC(=O)O)C)OCCCS(=O)(=O)C,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)CH(CO4)CC(=O)O)C)OCCCS(=O)(=O)C,BZCALJIHZVNMGJ-HSZRJFAPSA-N,24857286,OK,78,"This molecule triggers the 'Lipophilic Acid' alert. The combination of a high cLogP scaffold (multiple aromatic rings, alkyl chains) with a carboxylic acid tail is a classic predictor of DILI (Drug-Induced Liver Injury) via the formation of reactive acyl glucuronides. The molecular weight appears high (>500), pushing the boundaries of oral bioavailability ('The Brick'). While likely potent, the safety margin will be thin due to the requirement for high plasma concentrations and the risk of transporter inhibition (e.g., OATP).",Medium,"Lipophilic Carboxylic Acid (Acyl Glucuronide risk), Dihydrobenzofuran (Bioactivation potential)",0.6,Liver enzyme elevations likely.,0.2,DILI risk often manifests here.,0.05,Black box warning or withdrawal risk.,0.006,,2013.0
LY2886721,BACE1 inhibitor,_-site Amyloid Precursor Protein Cleaving Enzyme 1 (BACE1),Alzheimer,Phase 2,,2013,Liver enzyme elevations,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C1[C@H]2CSC(=N[C@]2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)F)F)N,C1CH2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)F)F)N,NIDRNVHMMDAAIK-YPMLDQLKSA-N,49837968,OK,55,"Chemically, this is a sophisticated design featuring a cyclic amidine (iminothiadiazine) core to engage the target's catalytic dyad. The physicochemical properties are tuned for CNS penetration. However, the inclusion of a thioether within the core ring introduces a metabolic soft spot (S-oxidation) which may complicate PK. More critically, the target class (BACE1) carries a massive 'Mechanism Attrition' tax due to a history of late-stage failures involving cognitive worsening. The molecule is chemically competent but strategically risky.",Medium,"Cyclic Isothiourea/Amidine (P-gp substrate potential), Thioether (S-oxidation)",0.75,Generally safe in short term.,0.15,Mechanism-based cognitive side effects.,0.05,Class-wide efficacy/safety failure.,0.005,,2013.0
Umibecestat,BACE1 inhibitor,_-site Amyloid Precursor Protein Cleaving Enzyme 1 (BACE1),AD prevention,Phase 2/3,,2019,Cognitive worsening,clinical_failure,CNS,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,C[C@]1(CO[C@@](C(=N1)N)(C)C(F)(F)F)C2=C(C=CC(=N2)NC(=O)C3=C(C=C(C=N3)C(F)(F)F)Cl)F,CC1(COC(C(=N1)N)(C)C(F)(F)F)C2=C(C=CC(=N2)NC(=O)C3=C(C=C(C=N3)C(F)(F)F)Cl)F,PSBBWFNMHDUTRH-DLBZAZTESA-N,88602735,OK,68,"This scaffold suffers from the 'Grease Tax'. It is heavily halogenated (two CF3 groups, Cl, F), which drastically inflates the molecular weight and lipophilicity. While this modulates the pKa of the cyclic amidine core, it pushes the molecule into a space associated with phospholipidosis and hERG inhibition (Lipophilic Base). The high lipophilicity also suggests rapid metabolic clearance via CYP450s. Like its peer, it suffers from the BACE1 mechanism tax, but with worse physicochemical properties.",Low,"Heavy Halogenation (Environmental/Metabolic persistence), Lipophilic Basic Amine (hERG/Phospholipidosis risk)",0.65,hERG and PK risks.,0.1,Mechanism failure + poor LipE.,0.02,Unlikely to survive chronic safety.,0.001,,2019.0
MK-3207,CGRP antagonist,Calcitonin gene-related peptide (CGRP) receptor,Migraine,Phase 2,,2009,Liver enzyme elevations (DILI concern; first-gen gepant class),clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C1CCC2(C1)C(=O)N([C@@H](CN2)C3=CC(=CC(=C3)F)F)CC(=O)NC4=CC5=C(C[C@@]6(C5)C7=C(NC6=O)N=CC=C7)C=C4,C1CCC2(C1)C(=O)N(CH(CN2)C3=CC(=CC(=C3)F)F)CC(=O)NC4=CC5=C(CC6(C5)C7=C(NC6=O)N=CC=C7)C=C4,AZAANWYREOQRFB-SETSBSEESA-N,25019940,OK,38,"This molecule attempts to cheat the 'Brick' rule (MW > 500) by utilizing high Fsp3 (spiro-cycles) to maintain solubility. While the scaffold is sophisticated and avoids the 'Flatland' penalty, the sheer size and TPSA are borderline for CNS penetration. It relies heavily on transporter evasion or high potency to offset low passive permeability. The difluorophenyl and rigid spiro-lactams are metabolically robust, but the complexity makes synthesis and cost of goods a nightmare. It passes, but barely, as an 'Elite Brick'. Tox Summary: Clean.",High,None specific; high MW implies biliary excretion risk.,0.75,High Fsp3 suggests good solubility despite size; safety profile likely clean due to lack of toxicophores.,0.45,"CNS penetration is the main attrition risk. If it crosses the BBB, it works.",0.2,Commercial viability depends on dosing frequency and synthesis cost.,0.85,,2009.0
BI 44370,CGRP antagonist,Calcitonin gene-related peptide (CGRP) receptor,Migraine,Phase 2,,2013,Hepatotoxicity,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CC1=CC(=CC(=C1O)C)C[C@H](C(=O)N2CCC(CC2)N3CCOCC3)OC(=O)N4CCC(CC4)N5CCC6=CC=CC=C6NC5=O,CC1=CC(=CC(=C1O)C)CCH(C(=O)N2CCC(CC2)N3CCOCC3)OC(=O)N4CCC(CC4)N5CCC6=CC=CC=C6NC5=O,HTLWMOKBJQKDIJ-WJOKGBTCSA-N,23654987,OK,82,"This structure is a 'Balloon' and a 'Brick' combined. With excessive rotatable bonds (>12) and a molecular weight likely exceeding 600, this looks like a peptidomimetic that failed to become a drug. The entropy penalty for binding will be massive. The presence of a carbamate, multiple amides, and a urea linkage creates a high TPSA, making CNS penetration nearly impossible without active transport. It screams 'Oral Bioavailability < 5%'. Tox Summary: Not Clean (PK Failure).",Low,"Carbamate (hydrolysis risk), Multiple peptidomimetic bonds.",0.3,Likely to fail due to poor exposure or high variability in PK.,0.05,Will not achieve CNS target engagement.,0.01,Dead on arrival.,0.2,,2013.0
Pexacerfont,CRF1 antagonist,Corticotropin-releasing factor receptor 1 (CRF$_1$),Depression,Phase 2/3,,2010,Liver abnormalities,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CC[C@@H](C)NC1=NC(=NC2=C(C(=NN21)C)C3=C(N=C(C=C3)OC)C)C,CCCH(C)NC1=NC(=NC2=C(C(=NN21)C)C3=C(N=C(C=C3)OC)C)C,LBWQSAZEYIZZCE-SNVBAGLBSA-N,9884366,OK,28,"This is a high-quality CNS candidate. The scaffold (pyrazolo-pyrimidine fused system) is rigid and ligand-efficient. The MW is well within the 'Goldilocks' zone (< 400). The use of a chiral branched amine and a methoxy-pyridine balances lipophilicity with polarity. The only risk is the flat heteroaromatic core potentially interacting with the Kinome, but the substitution pattern likely enforces a twist to mitigate this. Excellent LipE potential. Tox Summary: Clean.",Medium,Electron-rich heteroaromatic (potential oxidation).,0.85,Clean physicochemical profile suggests good safety and PK.,0.55,High probability of target engagement; good brain penetration predicted.,0.25,Standard attrition rates apply.,0.9,,2010.0
R121919,CRF1 antagonist,Corticotropin-releasing factor receptor 1 (CRF$_1$),Depression,Phase 2,,2006,Liver enzyme elevations,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CCCN(CCC)C1=CC(=NC2=C(C(=NN12)C)C3=CN=C(C=C3C)N(C)C)C,CCCN(CCC)C1=CC(=NC2=C(C(=NN12)C)C3=CN=C(C=C3C)N(C)C)C,ANNRUWYFVIGKHA-UHFFFAOYSA-N,9821250,OK,68,"A classic example of the 'Grease Tax'. Compared to the previous molecule, the substitution of a dipropylamino group is a lazy way to gain affinity. This modification likely pushes cLogP > 5, introducing significant risks of phospholipidosis, high plasma protein binding, and non-specific toxicity. While it may be potent in vitro, the 'Free Drug Hypothesis' dictates it will fail in vivo due to poor unbound fraction in the brain. Tox Summary: Not Clean (Lipophilicity).",Low,"Dipropylamino (N-dealkylation hotspot), High Lipophilicity.",0.5,Safety risks due to tissue accumulation (phospholipidosis).,0.15,Poor efficacy due to low free fraction in CNS.,0.05,Unlikely to survive chronic tox studies.,0.4,,2006.0
Traxoprodil,NMDA NR2B antagonist,NMDA receptor GluN2B (NR2B) subunit,Neuropsychiatric,Phase 2,,2010,QT liability,clinical_failure,CNS,tox_safety,qt_liability,Discontinued for safety/tox,,C[C@@H]([C@H](C1=CC=C(C=C1)O)O)N2CCC(CC2)(C3=CC=CC=C3)O,CCH(CH(C1=CC=C(C=C1)O)O)N2CCC(CC2)(C3=CC=CC=C3)O,QEMSVZNTSXPFJA-HNAYVOBHSA-N,219101,OK,62,"This molecule triggers a 'Hard Kill' alert for hERG inhibition. The pharmacophore is undeniable: A basic piperidine nitrogen (pKa ~9) linked to a hydrophobic phenyl ring and a polar head group. This is the textbook definition of a Class III antiarrhythmic masquerading as a CNS drug. Furthermore, the phenol and secondary alcohol motifs are 'Metabolic Sponges' for glucuronidation, guaranteeing a short half-life and high pill burden. Tox Summary: Not Clean (hERG/Metabolism).",Low,"4-phenylpiperidine (hERG pharmacophore), Phenol (Phase II conjugation).",0.3,High risk of QT prolongation in SAD/MAD studies.,0.1,Dose-limiting cardiovascular toxicity.,0.02,Safety margins will be insufficient for approval.,0.35,,2010.0
AMG-517,TRPV1 antagonist,Transient receptor potential vanilloid 1 (TRPV1),Pain,Phase 1,,2007,Hyperthermia; also poor solubility/biopharm constraints,clinical_failure,CNS,tox_safety,thermoregulation_liability,Discontinued for safety/tox,,CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,YUTIXVXZQIQWGY-UHFFFAOYSA-N,16007367,OK,45,"The molecule features a 2-acetamidobenzothiazole core linked via an ether to a pyrimidine and a trifluoromethyl-phenyl tail. While the scaffold is potent, it suffers from 'Brick-Dust' characteristics: high aromaticity and planarity suggesting poor aqueous solubility and dissolution-limited absorption. The 2-aminobenzothiazole motif (masked here as acetamide) carries a latent risk of genotoxicity if hydrolyzed. Furthermore, TRPV1 antagonists have a history of clinical failure due to on-target hyperthermia; this structure does not appear to have the physicochemical differentiation (e.g., polarity) to avoid CNS-driven thermoregulation issues. Tox Summary: Watch for hydrolysis and solubility.",Medium,"2-acetamidobenzothiazole (aniline precursor), Fluorine-rich lipophilic tail",0.6,Solubility and on-target hyperthermia are major Phase 1 hurdles.,0.3,"Efficacy is likely, but therapeutic window vs. temperature effects is narrow.",0.1,Chronic safety concerns with benzothiazole metabolites and thermoregulation.,0.018,,2007.0
MCC950,NLRP3 inhibitor,NLRP3 inflammasome,Inflammatory disease,Phase 2,,2020,Hepatotoxicity,clinical_failure,Immunology,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CC(C)(C1=COC(=C1)S(=O)(=O)NC(=O)NC2=C3CCCC3=CC4=C2CCC4)O,CC(C)(C1=COC(=C1)S(=O)(=O)NC(=O)NC2=C3CCCC3=CC4=C2CCC4)O,HUUSXLKCTQDPGL-UHFFFAOYSA-N,9910393,OK,82,"This structure contains a Furan ring, which is a 'Hard Kill' alert for chronic indications (Immunology) due to the high risk of metabolic bioactivation to reactive dicarbonyls (cis-2-butene-1,4-dial). The molecule also features a sulfonylurea moiety, which can be associated with hypoglycemia and idiosyncratic toxicity, and a highly lipophilic hexahydro-s-indacene tail ('Grease Ball'). The combination of a structural alert (Furan) and high lipophilicity makes this a poor candidate for development despite potential potency. Tox Summary: NOT CLEAN (Furan).",Low,"Furan (MBI Alert), Sulfonylurea, Hexahydroindacene (Lipophilicity)",0.2,High risk of reactive metabolite formation (Furan) and liver enzyme elevation.,0.1,Likely attrition due to DILI or poor PK (high clearance).,0.05,Furan-containing drugs are rarely approvable for chronic non-life-threatening indications.,0.001,,2020.0
Zelnecirnon,CCR4 antagonist,C-C chemokine receptor type 4 (CCR4),Inflammatory disease,Phase 2,,2024,Severe liver injury,clinical_failure,Immunology,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CC1=C(C(=NC(=N1)N2CC(C2)[C@H]3CCCN(C3)C4CC(C4)(C)C(=O)O)N[C@H](C)C5=C(C=C(C=C5)Cl)Cl)Cl,CC1=C(C(=NC(=N1)N2CC(C2)CH3CCCN(C3)C4CC(C4)(C)C(=O)O)NCH(C)C5=C(C=C(C=C5)Cl)Cl)Cl,ANPSFQZLPNWKHR-PRZTZBHNSA-N,139344142,OK,28,"A highly engineered molecule featuring a zwitterionic design (carboxylic acid + basic amines) which is excellent for limiting CNS penetration and improving solubility. The sp3-rich aliphatic tail (azetidine/pyrrolidine/cyclobutane) balances the lipophilic dichlorophenyl anchor. The core appears to be a substituted heteroaromatic ring (likely pyrimidine) with a chlorine substituent; if this Cl is at a stable position (e.g., C5 of pyrimidine), it is acceptable. The complexity suggests a late-stage optimization to solve PK/Selectivity. Tox Summary: Clean, provided the core Cl is chemically stable.",High,"Chlorinated heteroaromatic core (Check reactivity), Dichlorophenyl",0.85,Excellent physicochemical properties and zwitterionic nature suggest good safety/PK.,0.5,"Target engagement in immunology is complex, but molecule quality is high.",0.2,Standard attrition rates for immunology; no specific structural killers.,0.085,,2024.0
AB-506,HBV capsid inhibitor,Hepatitis B virus (HBV) core protein,Hepatitis B,Phase 1,,2019,ALT flares/liver injury,clinical_failure,Infectious,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CN1C=NC(=N1)COC(=O)N[C@H]2CCC3=C(C=CC(=C23)F)C(=O)NC4=CC(=C(C=C4)F)Cl,CN1C=NC(=N1)COC(=O)NCH2CCC3=C(C=CC(=C23)F)C(=O)NC4=CC(=C(C=C4)F)Cl,DMJDVZSGLNPLSS-KRWDZBQOSA-N,142433688,OK,18,"An exemplary MedChem design. The molecule utilizes a fused bicyclic core (tetralin/indane-like) with defined stereochemistry, linked via a carbamate to an imidazole headgroup. The properties are well-balanced (MW ~450, moderate TPSA). The imidazole may pose a risk of CYP inhibition (DDI), but this is manageable. The carbamate linker provides stability while maintaining H-bond acceptor capability. No 'Hard Kill' alerts are present. This represents a high-quality lead for an infectious disease target. Tox Summary: Clean.",Medium,"Imidazole (CYP Inhibition risk), Fluorinated aromatics",0.8,"Clean structure, likely good bioavailability and safety profile.",0.45,Strong antiviral precedence for this scaffold class.,0.2,Commercial viability depends on differentiation from standard of care.,0.072,,2019.0
Taranabant,CB1 inverse agonist,Cannabinoid receptor 1 (CB1),Obesity,Phase 3,,2008,Psychiatric adverse effects,clinical_failure,Metabolic,tox_safety,cns_psychiatric_toxicity,Discontinued for safety/tox,,C[C@@H]([C@@H](CC1=CC=C(C=C1)Cl)C2=CC=CC(=C2)C#N)NC(=O)C(C)(C)OC3=NC=C(C=C3)C(F)(F)F,CCH(CH(CC1=CC=C(C=C1)Cl)C2=CC=CC(=C2)C#N)NC(=O)C(C)(C)OC3=NC=C(C=C3)C(F)(F)F,QLYKJCMUNUWAGO-GAJHUEQPSA-N,11226090,OK,92,"This molecule is a 'Grease Ball' designed to fail. It features a highly lipophilic 1,2-diaryl-ethylamine scaffold with a gem-dimethyl ether and a trifluoromethyl-pyridine. The cLogP is likely >5.5, and TPSA is low (<80), ensuring high CNS penetration. For a CB1 inverse agonist in metabolic disease, CNS penetration is the *cause* of the class-wide failure (suicidality/depression). A safe CB1 metabolic drug MUST be peripherally restricted (high TPSA/substrate for efflux). This molecule ignores that rule and invites the 'Clinical Tax' of psychiatric adverse events. Tox Summary: NOT CLEAN (CNS Safety Risk).",High,"Nitrile (metabolic stability ok, but general alert), High Lipophilicity (Phospholipidosis risk)",0.7,May pass Phase 1 safety in healthy volunteers.,0.4,Will show weight loss efficacy.,0.05,Guaranteed failure due to psychiatric side effects (suicidal ideation) typical of central CB1 blockade.,0.014,,2008.0
Otenabant,CB1 antagonist,Cannabinoid receptor 1 (CB1),Obesity,Phase 2,,2009,CNS safety concern,clinical_failure,Metabolic,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CCNC1(CCN(CC1)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl)C(=O)N,CCNC1(CCN(CC1)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl)C(=O)N,UNAZAADNBYXMIV-UHFFFAOYSA-N,10052040,OK,88,"This structure is a textbook example of the 'hERG Trap'. The combination of a highly lipophilic bis-aryl purine core with a basic amine tail (ethylamino-piperidine) creates a perfect pharmacophore for hERG channel blockade. The cLogP is estimated > 5.0, violating the 'Grease Tax'. For a metabolic indication (likely obesity), CNS restriction is paramount; however, this molecule relies on P-gp efflux rather than intrinsic polarity to stay out of the brain, a fragile safety margin. The quaternary center adds synthetic complexity without solving the fundamental lipophilicity problem. Tox Summary: Not Clean (hERG + CNS Liability).",Medium,"Bis-aryl purine (hERG), Basic amine linker",0.3,High risk of QT prolongation due to hERG pharmacophore overlap.,0.1,CNS-mediated psychiatric side effects are a class liability for CB1; structure does not ensure peripheral restriction.,0.05,Safety margins will likely erode in large populations.,0.15,,2009.0
BMS-986020,LPA1 antagonist,Lysophosphatidic acid receptor 1 (LPA1),Idiopathic pulmonary fibrosis,Phase 2,,2018,Hepatobiliary toxicity,clinical_failure,Respiratory,tox_safety,hepatobiliary_toxicity,Discontinued for safety/tox,,CC1=NOC(=C1NC(=O)O[C@H](C)C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5(CC5)C(=O)O,CC1=NOC(=C1NC(=O)OCH(C)C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5(CC5)C(=O)O,GQBRZBHEPUQRPL-LJQANCHMSA-N,49792850,OK,78,"A 'Molecular Brick' disguised as a drug. The strategy of appending a carboxylic acid to a massive lipophilic scaffold (biphenyl + isoxazole + phenyl) to force solubility is a cardinal sin in modern MedChem. This specific profile (Lipophilic Acid + MW > 500 + High Aromatic Ring Count) is statistically correlated with BSEP inhibition and DILI (Rule of Two). The carbamate linker introduces potential idiosyncratic toxicity risks. While it may be potent, the physicochemical properties suggest high plasma protein binding and liver accumulation. Tox Summary: Not Clean (DILI/BSEP Risk).",High,"Lipophilic Carboxylic Acid (BSEP), Carbamate",0.6,"Likely safe in single doses, but liver enzyme elevations may appear.",0.2,High attrition risk due to hepatotoxicity signals (transaminase elevations).,0.1,DILI risk makes chronic dosing viable only for severe indications.,0.35,,2018.0
LY3023703,mPGES-1 inhibitor,Microsomal prostaglandin E synthase-1 (mPGES-1),Pain,Phase 1,,2018,Reactive metabolite DILI,clinical_failure,Pain,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC1=C(N=C(N1)NC(=O)C2=C(N=CC(=C2)CNC(=O)C(C)C)C(F)F)C3=CC=C(C=C3)C(F)(F)F,CC1=C(N=C(N1)NC(=O)C2=C(N=CC(=C2)CNC(=O)C(C)C)C(F)F)C3=CC=C(C=C3)C(F)(F)F,BZYSILFNUIGABU-UHFFFAOYSA-N,71059525,OK,38,"A competent, disciplined design. The molecule utilizes fluorination (CF3, CF2) effectively to modulate pKa and block metabolic soft spots without incurring a massive lipophilicity penalty. The heteroaromatic stack is balanced by polar amide linkers, keeping TPSA and LogP in a developable range. The solubilizing tail (methylamine-isobutyramide) suggests thoughtful optimization for oral bioavailability. No obvious structural alerts or toxicophores are present. This represents a high-quality lead optimization candidate. Tox Summary: Clean.",High,None identified,0.85,Clean structural profile suggests good safety baseline.,0.5,Target engagement and efficacy will be the main driver; ADME looks solid.,0.25,"Standard attrition rates apply, but chemistry is not the limiting factor.",0.75,,2018.0
LY3031207,mPGES-1 inhibitor,Microsomal prostaglandin E synthase-1 (mPGES-1),Pain,Phase 1,,2019,Phase 1 DILI,clinical_failure,Pain,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC(C)(C)C(=O)NCC1=CC(=C(C=C1)Cl)C(=O)NC2=NC=CN2,CC(C)(C)C(=O)NCC1=CC(=C(C=C1)Cl)C(=O)NC2=NC=CN2,MBAHGUNQNAJTLD-UHFFFAOYSA-N,57382526,OK,32,"An excellent example of 'Ligand Efficiency' first. The structure is low MW (< 400), utilizing a simple pivalamide and chlorobenzyl core linked to an aminopyrazine. While the aminopyrazine moiety can sometimes be metabolically labile, the overall footprint is small, leaving ample room for optimization. It avoids the 'Grease Tax' entirely. This is a robust starting point or a high-quality fragment-derived lead. The lack of complexity reduces the risk of idiosyncratic toxicity. Tox Summary: Clean.",Medium,Aminopyrazine (potential oxidation),0.9,Low complexity and low lipophilicity predict a clean safety profile.,0.4,Main risk is lack of potency or short half-life requiring frequent dosing.,0.2,"If efficacy is met, developability is high.",0.8,,2019.0
GT-1,Antibiotic,Bacterial Siderophore-Cephalosporin conjugate (targets cell wall),FIH volunteers,Phase 1,,2018,Safety signal,clinical_failure,Infectious,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC(C)(C(=O)O)O/N=C(/C1=C(SC(=N1)N)Cl)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CN=C(C(=C4)NCCNC(=O)C5=CC(=O)C(=CN5O)O)N)C(=O)[O-],CC(C)(C(=O)O)ON=C(C1=C(SC(=N1)N)Cl)C(=O)NCH2CH3N(C2=O)C(=C(CS3)CN+4=CN=C(C(=C4)NCCNC(=O)C5=CC(=O)C(=CN5O)O)N)C(=O)O-,WUCKZQNKKIJUSF-UVXYUCGCSA-N,145283404,OK,65,"A chemical 'Rube Goldberg Machine'. This molecule violates every rule of small molecule drug design (MW > 700, TPSA > 200, Zwitterionic), but this is characteristic of the siderophore-cephalosporin class. The presence of a beta-lactam (chemical instability), an oxime, a quaternary ammonium, and a catechol-bioisostere iron chelator creates a nightmare for manufacturing and stability. While the 'Trojan Horse' mechanism justifies the complexity for MDR pathogens, strictly as a chemical entity, it is fragile and difficult to develop. It is clearly an IV-only asset. Tox Summary: Clean (Mechanism-based), but chemically unstable.",Low,"Beta-lactam (Hydrolysis), Catechol-mimic (Chelation)",0.7,Safety likely acceptable as beta-lactams have high therapeutic index.,0.6,High probability of success if it evades resistance mechanisms.,0.5,High unmet need in infectious disease tolerates the IV-only profile.,0.6,,2018.0
Aleglitazar,PPAR agonist,Dual PPAR$\alpha$ and PPARgamma receptors,T2D,Phase 3,,2013,HF/renal imbalance,clinical_failure,Metabolic,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=C4C=CSC4=C(C=C3)C[C@@H](C(=O)O)OC,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=C4C=CSC4=C(C=C3)CCH(C(=O)O)OC,DAYKLWSKQJBGCS-NRFANRHFSA-N,10274777,OK,68,"This molecule exhibits the classic 'Glitazar' liability profile. The combination of a highly lipophilic tail (benzothiophene + phenyl-oxazole) with a carboxylic acid headgroup triggers the 'Rule of Two' alert for DILI (cLogP > 4 + Acid = Acyl Glucuronide accumulation). The alpha-methoxy acid is metabolically vulnerable to O-demethylation. While likely potent, the 'Grease Tax' is high, and the safety margin for a chronic metabolic indication is statistically poor. Tox Summary: Not Clean (DILI/Acyl Glucuronide risk).",Low,"Carboxylic acid (Acyl glucuronide), Benzothiophene (S-oxidation), Alpha-methoxy acid",0.6,High lipophilicity increases risk of off-target tox and safety signals in Phase 1.,0.25,"Efficacy likely fine, but liver enzyme elevations or other safety signals often halt PPARs here.",0.1,Chronic dosing reveals rare idiosyncratic tox associated with high lipophilicity/acyl glucuronides.,0.15,,2013.0
Ragaglitazar,PPAR agonist,Dual PPARalpha and PPAR$\gamma$ receptors,T2D,Phase 2,,2003,Carcinogenicity signal,clinical_failure,Metabolic,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CCO[C@H](CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3OC4=CC=CC=C42)C(=O)O,CCOCH(CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3OC4=CC=CC=C42)C(=O)O,WMUIIGVAWPWQAW-XMMPIXPASA-N,128814,OK,78,"A structural failure for chronic indications. The phenoxazine core is an electron-rich, redox-active scaffold prone to radical cation formation and potential phototoxicity. Combined with extreme lipophilicity (cLogP likely > 5) and the carboxylic acid 'warhead', this molecule is a DILI magnet. The alpha-ethoxy side chain adds unnecessary metabolic complexity. It represents 'Grease' over 'Efficiency'. Tox Summary: Not Clean (Redox liability + DILI).",Low,"Phenoxazine core (Redox/Quinone imine), Carboxylic acid (Acyl glucuronide)",0.4,Significant risk of phototoxicity or acute liver signals in healthy volunteers.,0.1,Safety attrition probability is extreme.,0.05,Unlikely to survive chronic tox studies.,0.02,,2003.0
Danuglipron,GLP-1 agonist,Glucagon-like peptide-1 (GLP-1) receptor,Obesity/T2D,Phase 2,,2025,Liver injury signal,clinical_failure,Metabolic,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C1CO[C@@H]1CN2C3=C(C=CC(=C3)C(=O)O)N=C2CN4CCC(CC4)C5=NC(=CC=C5)OCC6=C(C=C(C=C6)C#N)F,C1COCH1CN2C3=C(C=CC(=C3)C(=O)O)N=C2CN4CCC(CC4)C5=NC(=CC=C5)OCC6=C(C=C(C=C6)C#N)F,HYBAKUMPISVZQP-DEOSSOPVSA-N,134611040,OK,32,"Elite medicinal chemistry design. The scaffold utilizes an oxetane to modulate the basicity and lipophilicity of the benzimidazole core, optimizing LipE. While the MW is high (>500), it is necessary for the target class (GLP-1 small molecule). The zwitterionic character (acid + basic nitrogens) balances solubility against the lipophilic bulk required for potency. The fluorobenzonitrile is a metabolically robust anchor. Tox Summary: Clean.",High,None identified (High MW is the only alert).,0.85,Clean structural alerts and modern physicochemical profile suggest good safety.,0.55,"Bioavailability is the main hurdle; if achieved, target engagement is high probability.",0.3,Strong commercial viability if oral delivery is successful.,0.14,,2025.0
