compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Roflumilast,PDE4 inhibitor,Phosphodiesterase-4 (PDE4),COPD,Approved,2011,,,approved,Respiratory,,approved_control,Approved controls (success),,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,MNDBXUUTURYVHR-UHFFFAOYSA-N,449193,OK,58,"A difficult scaffold targeting a notorious class (PDE4). The molecule features a heavy halogen load (two fluorines, two chlorines), which pushes lipophilicity and drives the 'Grease Tax' up. The dichloropyridine moiety is electron-deficient and sterically crowded; while it may improve metabolic stability of the ring, it raises concerns for reactive metabolite formation or specific organ toxicity. The difluoromethoxy and cyclopropylmethoxy groups are rational optimizations for metabolic stability, but the therapeutic window (emesis vs. efficacy) remains the primary liability for this chemotype. Tox Summary: Not Clean (GI/Emesis risk).",High,"3,5-Dichloro-4-aminopyridine motif (reactive metabolite potential), Poly-halogenated aromatics",0.65,GI tolerability (emesis) often manifests early in Phase 1.,0.3,Achieving efficacy without inducing nausea is the historical graveyard for this class.,0.1,Commercial viability is low unless the therapeutic index is significantly improved over standards.,0.4,
Amoxicillin,Penicillin antibiotic,Penicillin-binding proteins (PBPs) (inhibits cell wall synthesis),Bacterial infection,Approved,1974,,,approved,Infectious,,approved_control,Approved controls (success),,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,CC1(CH(N2CH(S1)CH(C2=O)NC(=O)CH(C3=CC=C(C=C3)O)N)C(=O)O)C,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,33613,OK,18,"An elite example of chemical biology, though structurally fragile. The beta-lactam ring is inherently unstable (ring strain), acting as an acylating agent for the target enzyme; this 'suicide' mechanism is a feature, not a bug. The zwitterionic character (amino group + carboxylic acid) is perfectly tuned for porin penetration in Gram-negatives. While the phenol adds polarity, the molecule is chemically delicate and susceptible to hydrolysis. As an NCE, it violates stability rules, but within the infectious disease context, it is a precision weapon. Tox Summary: Clean (High specificity, allergy risk only).",Low,"Beta-lactam ring (highly reactive electrophile, hapten formation/allergy risk)",0.9,Mechanism is highly specific to bacteria; human safety is generally high barring allergies.,0.75,Efficacy is driven by time>MIC; well-understood PK/PD.,0.65,"Main attrition risk is bacterial resistance, not human safety.",0.85,
Azithromycin,Macrolide antibiotic,50S ribosomal subunit (inhibits bacterial protein synthesis),Bacterial infection,Approved,1991,,,approved,Infectious,,approved_control,Approved controls (success),,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,CCCH1C(CH(CH(N(CCH(CC(CH(CH(CH(CH(C(=O)O1)C)OCH2CC(CH(CH(O2)C)O)(C)OC)C)OCH3CH(CH(CCH(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N,447043,OK,78,"A 'Brick' by any standard definition. MW > 700, high rotatable bond count, and massive TPSA violate every rule of oral bioavailability. It survives only via active transport or lysosomal trapping (basic amine accumulation). The macrocyclic lactone is complex to synthesize and analyze. The presence of basic amines coupled with a lipophilic macrocycle creates a significant hERG pharmacophore risk (QT prolongation). Furthermore, the specific arrangement suggests potential for CYP3A4 mechanism-based inhibition (nitrosoalkane complex). This is a 'Hail Mary' structure that defies medicinal chemistry logic but relies on privileged biological transport. Tox Summary: Not Clean (Cardiac/CYP risks).",Medium,"Basic amine on macrocycle (Phospholipidosis/Lysosomal trapping), Macrocyclic lactone (hERG liability)",0.5,High risk of QT prolongation and PK variability in Phase 1.,0.4,"Tissue accumulation drives efficacy, but complex PK makes dosing tricky.",0.2,DDI potential (CYP inhibition) and cardiac safety are major hurdles for chronic/broad use.,0.55,
Ciprofloxacin,Fluoroquinolone antibiotic,DNA gyrase (Topoisomerase II) and Topoisomerase IV,Bacterial infection,Approved,1987,,,approved,Infectious,,approved_control,Approved controls (success),,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,2764,OK,32,"A highly efficient, compact scaffold. The zwitterionic nature (carboxylic acid + secondary amine) ensures high solubility and permeability. The fluorine atom is critical for potency but metabolically robust. The piperazine ring is a common handle for tuning spectrum but introduces a secondary amine that can be subject to conjugation or oxidation. The core quinolone scaffold carries class-wide liabilities including phototoxicity, GABA inhibition (CNS effects), and connective tissue damage (tendonitis), which must be screened rigorously. Despite these biological risks, the physicochemical properties are Goldilocks zone. Tox Summary: Not Clean (Class-wide connective tissue/CNS risks).",Medium,"Piperazine (reactive metabolite risk), Fluoroquinolone core (Phototoxicity, QT prolongation, Tendon rupture risk)",0.7,CNS and QT effects are the primary safety gatekeepers in Phase 1.,0.65,Potency is rarely the issue; safety margin defines success.,0.4,Black box warning risks for class-specific toxicities reduce commercial probability.,0.75,
Levofloxacin,Fluoroquinolone antibiotic,DNA gyrase (Topoisomerase II) and Topoisomerase IV,Bacterial infection,Approved,1996,,,approved,Infectious,,approved_control,Approved controls (success),,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,CCH1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,GSDSWSVVBLHKDQ-JTQLQIEISA-N,149096,OK,15,"This molecule represents a highly evolved optimization of the quinolone scaffold. The tricyclic core rigidly locks the N1-C8 bond, minimizing entropic penalties upon binding and likely improving oral bioavailability compared to open-chain analogs. The zwitterionic character (carboxylic acid + basic piperazine) is tuned for high solubility, though it introduces a 'permeability tax'. The C6-fluorine is essential for potency but metabolically robust. The primary liability is the inherent metal chelation capacity of the beta-keto acid motif, which poses developmental risks (cartilage/bone). The N-methyl piperazine is a standard solubilizer but a potential site for bioactivation via ring opening, though historically manageable. Excellent LipE profile.",High,"Beta-keto acid (Metal Chelation), N-methyl piperazine (minor bioactivation risk)",0.85,"Clean physicochemical profile. Main risks are class-based (QTc, phototox) rather than structural idiosyncrasies.",0.6,Potency is likely high due to the rigidified core. PK should be predictable.,0.4,Chronic safety is the hurdle; tendonitis and neuropathy are class effects that are hard to screen out pre-clinically.,0.88,
Moxifloxacin,Fluoroquinolone antibiotic,DNA gyrase (Topoisomerase II) and Topoisomerase IV,Bacterial infection,Approved,1999,,,approved,Infectious,,approved_control,Approved controls (success),,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,COC1=C2C(=CC(=C1N3CCH4CCCNCH4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,FABPRXSRWADJSP-MEDUHNTESA-N,152946,OK,22,"A heavy-duty antibiotic scaffold. The inclusion of the C8-methoxy group is a sophisticated medicinal chemistry maneuver known to reduce the HOMO-LUMO gap issues associated with phototoxicity in this class. The N1-cyclopropyl group is the gold standard for steric fit. However, the C7-diazabicyclo substituent adds significant bulk and basicity. While this likely improves spectrum and reduces efflux, bulky basic centers at this position are strongly correlated with hERG channel blockade (QTc prolongation). The molecule pushes the molecular weight and complexity limits for a small molecule antibiotic, potentially impacting oral absorption compared to smaller congeners.",Medium,"Diazabicyclo amine (hERG risk), Beta-keto acid (Metal Chelation)",0.75,hERG liability is the primary Phase 1 gatekeeper here due to the bulky basic side chain.,0.55,"Strong efficacy expected, but safety margins (QTc vs MIC) will be the defining factor.",0.35,Liver safety and cardiac safety in broad populations will be scrutinized.,0.7,
Doxycycline,Tetracycline antibiotic,30S ribosomal subunit (inhibits bacterial protein synthesis),Bacterial infection,Approved,1967,,,approved,Infectious,,approved_control,Approved controls (success),,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,CCH1CH2CH(CH3CH(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,SGKRLCUYIXIAHR-AKNGSSGZSA-N,54671203,OK,48,"From a pure developability standpoint, this structure is a nightmare. It violates multiple Rule-of-5 parameters (MW, TPSA, H-bond donors). It is a dense thicket of chiral centers and polar functionality. The 1,3-diketone/phenol system is a potent metal chelator (Ca2+, Mg2+), guaranteeing bone/tooth deposition and potential interference with metalloenzymes. Chemically, these polyketide-like structures are prone to epimerization and oxidative degradation. However, the absence of a hydroxyl group at the C6 benzylic position (present in earlier generations) significantly improves chemical stability against acid-catalyzed dehydration. It survives only because active transport mechanisms exist for this class; as a passive diffusion NCE, it would be rejected immediately.",Medium,"Phenolic diketone (Chelation), Dimethylamino enone (Michael acceptor potential)",0.6,GI tolerability and phototoxicity are major Phase 1 risks. PK variability due to chelation with food is expected.,0.45,"Efficacy is validated by the scaffold, but dosing regimens are complex.",0.3,Widespread use limited by resistance and cosmetic/developmental side effects (teeth staining).,0.4,
Linezolid,Oxazolidinone antibiotic,23S ribosomal RNA of the 50S subunit (prevents formation of initiation complex),Bacterial infection,Approved,2000,,,approved,Infectious,,approved_control,Approved controls (success),,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,CC(=O)NCCH1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,TYZROVQLWOKYKF-ZDUSSCGKSA-N,441401,OK,10,"This is an exceptionally clean small molecule. It adheres strictly to Rule-of-5 and CNS MPO guidelines (though CNS is not the target, the properties imply excellent distribution). The oxazolidinone core is synthetically tractable and stable. The acetamidomethyl group is a specific H-bond donor motif required for the target. The fluorophenyl ring modulates pKa and metabolic stability without introducing lipophilic bloat. The morpholine ring improves solubility. The primary risk is mechanism-based: inhibition of mitochondrial protein synthesis (due to bacterial ribosome homology), leading to myelosuppression or lactic acidosis in chronic use. Structurally, however, it is nearly flawless.",High,None (Clean structural alerts). Mechanism-based mitochondrial tox risk.,0.9,Low acute toxicity risk. Excellent PK predicted.,0.7,High probability of success if the target is susceptible.,0.5,"Long-term safety (bone marrow, neuropathy) is the only significant attrition factor.",0.92,
Oseltamivir,Neuraminidase inhibitor,Viral neuraminidase enzyme (prevents release of new virus particles),Influenza,Approved,1999,,,approved,Infectious,,approved_control,Approved controls (success),,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC,CCC(CC)OCH1C=C(CCH(CH1NC(=O)C)N)C(=O)OCC,VSZGPKBBMSAYNT-RRFJBIMHSA-N,65028,OK,25,"This molecule relies on a prodrug strategy (ethyl ester) to mask a polar carboxylate, implying the active parent is highly polar and likely has poor oral bioavailability on its own. The core is a densely functionalized cyclohexene mimicking a transition state. The presence of a primary amine and an acetamide on a carbocycle suggests a delicate balance of polarity. The large lipophilic ether chain (pentan-3-yl) is clearly a 'grease anchor' to fill a hydrophobic pocket, but it creates a surfactant-like amphiphilicity when combined with the polar amine/acid headgroup. Synthesis looks complex (3 chiral centers). The reliance on ester hydrolysis introduces inter-patient variability in exposure.",Medium,"Ethyl ester (Prodrug - releases ethanol/active acid), Primary amine (reactive metabolite risk)",0.8,Prodrug conversion efficiency is the main P1 question. Safety profile likely clean.,0.5,Efficacy depends entirely on the viral mutation rate and timing of administration.,0.4,"Commercial viability is high, but neuropsychiatric events (rare) have been associated with this scaffold.",0.65,
Acyclovir,Nucleoside analogue antiviral,Viral DNA polymerase (causes chain termination),Herpes virus,Approved,1982,,,approved,Infectious,,approved_control,Approved controls (success),,C1=NC2=C(N1COCCO)N=C(NC2=O)N,C1=NC2=C(N1COCCO)N=C(NC2=O)N,MKUXAQIIEYXACX-UHFFFAOYSA-N,135398513,OK,18,"This structure represents a masterclass in 'negative design' for selectivity. The acyclic side chain mimics a sugar moiety but lacks the rigidity, likely rendering it inert to host kinases while remaining a substrate for viral enzymes. The hemiaminal ether linkage (N-C-O) is chemically exotic but stable in this context. Physicochemical properties are excellent (Low MW, Low LogP), though the high polarity suggests permeability issues (Class III/IV) requiring transporter assistance or prodrug derivatization. The flat purine ring poses a risk for renal crystallization, but overall, this is a clean, high-fidelity scaffold. Tox Summary: Clean.",High,None (Renal crystallization risk from purine insolubility),0.85,Clean tox profile; mechanism-based toxicity is low due to requirement for specific activation.,0.65,Efficacy depends heavily on intracellular phosphorylation rates; bioavailability is the main hurdle.,0.55,Safety profile is robust for chronic use.,0.3,
Trifluoperazine,First-gen antipsychotic,Dopamine D2 receptor antagonist,Schizophrenia,Approved,1959,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,ZEWQUBUPAILYHI-UHFFFAOYSA-N,5566,OK,82,"A textbook example of 'Old World' medicinal chemistry: brute-force affinity via lipophilicity. The phenothiazine core is a metabolic sponge (S-oxidation, N-dealkylation, aromatic hydroxylation). The trifluoromethyl group adds significant 'Grease' (cLogP penalty) without specific polar interactions. Crucially, the structure triggers a 'Hard Kill' hERG alert: a basic piperazine nitrogen linked by a 3-carbon spacer to a massive lipophilic tricyclic system. This molecule will likely hit every GPCR in the brain (Dopamine, Histamine, Muscarinic) and block ion channels. Tox Summary: Not Clean.",Low,"Phenothiazine core (phototoxicity/blood dyscrasias), Basic amine-spacer-aromatic (hERG)",0.4,High risk of QT prolongation and extrapyramidal side effects in healthy volunteers.,0.25,"Efficacy is likely, but therapeutic window will be non-existent due to off-target sedation and cardiotoxicity.",0.1,"Chronic safety liabilities (tardive dyskinesia, metabolic syndrome) will kill this commercially.",0.01,
Loxapine,First-gen antipsychotic,Dopamine D2 receptor and 5-HT2A receptor antagonist,Schizophrenia,Approved,1975,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,XJGVXQDUIWGIRW-UHFFFAOYSA-N,3964,OK,74,"Structurally similar to the phenothiazine entry but utilizes a dibenzoxazepine core. The amidine-like linkage to the piperazine is chemically stable, but the molecule remains a promiscuous binder. The chlorine atom on the aromatic ring attempts to block metabolism but adds lipophilicity to an already greasy scaffold. Like its cousin, it possesses the structural vectors for multi-receptor promiscuity (dirty profile). While likely potent, the lack of selectivity and high CNS MPO penalties (MW, LogP, pKa) make it a liability. Tox Summary: Not Clean.",Medium,"Tricyclic core (idiosyncratic tox), Piperazine (phospholipidosis risk if lipophilic enough)",0.5,Sedation and anticholinergic effects will limit dose escalation.,0.3,Dirty profile ensures efficacy in psychosis but guarantees poor tolerability.,0.15,"Long-term safety profile is poor compared to cleaner, modern alternatives.",0.02,
Desipramine,TCA (Secondary amine),Norepinephrine Transporter (NET),Depression,Approved,1964,,,approved,CNS,,approved_control,Approved controls (success),,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,HCYAFALTSJYZDH-UHFFFAOYSA-N,2995,OK,78,"This tricyclic scaffold containing a dihydro-dibenzazepine core is a known structural alert for sodium channel blockade (cardiotoxicity). The flexible propyl-secondary amine side chain allows for promiscuous binding to monoamine transporters but lacks the rigidity required for high selectivity. The secondary amine is a slight improvement over tertiary analogs regarding anticholinergic burden, but the 'Lipophilic Cation' motif remains a suicide risk in overdose. The therapeutic index is dangerously narrow. Tox Summary: Not Clean.",Medium,"Tricyclic amine (Na+ channel block/Cardiotox), Benzylic carbons (metabolic hot spots)",0.6,"Tolerable at low doses, but cardiac conduction delays are a stopping criterion.",0.35,"Efficacy is standard for the class, but side effects (dry mouth, hypotension) drive attrition.",0.15,Safety in overdose is a critical failure point for this scaffold.,0.03,
Valproic,Anticonvulsant,GABA transaminase inhibition and Voltage-gated Na+ channels,Epilepsy; bipolar disorder,Approved,1978,,,approved,CNS,,approved_control,Approved controls (success),,CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N,3121,OK,92,"As a Novel Chemical Entity (NCE), this is a non-starter. It is a simple branched fatty acid. The potency will be in the millimolar range, necessitating gram-level daily dosing, which puts massive stress on the liver. The free carboxylic acid is a liability for the formation of acyl-glucuronides (reactive metabolites) and CoA-thioesters that can interfere with mitochondrial beta-oxidation (microvesicular steatosis). Furthermore, short-chain fatty acid analogs are known HDAC inhibitors (teratogenicity risk). This is a solvent, not a drug candidate. Tox Summary: Not Clean.",High,"Carboxylic acid (Acyl-glucuronidation), Branched aliphatic chain (Mitochondrial tox/Steatosis)",0.8,"Acute toxicity is low, but high doses will cause GI distress.",0.1,"Achieving efficacy requires massive systemic exposure, leading to high attrition.",0.05,Idiosyncratic hepatotoxicity and teratogenicity are unacceptable for a modern NCE.,0.004,
Diazepam,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Anxiety; seizures; muscle spasm,Approved,1963,,,approved,CNS,,approved_control,Approved controls (success),,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,AAOVKJBEBIDNHE-UHFFFAOYSA-N,3016,OK,18,"Textbook CNS scaffold exhibiting near-ideal physicochemical properties for blood-brain barrier penetration (MW < 300, cLogP ~2.9, TPSA ~32). The molecule is highly lipophilic with zero hydrogen bond donors, suggesting rapid passive diffusion but potential solubility limitations. The N-methyl lactam motif is metabolically labile (N-demethylation), likely leading to a long-lived active metabolite profile. While structurally clean of hard toxicophores, the reliance on oxidative metabolism (CYP-mediated) rather than Phase II conjugation is a slight developability inferiority compared to hydroxylated analogs. Tox Summary: Clean.",Medium,None,0.85,"Clean structure, low MW, no obvious hERG pharmacophores. High probability of safety.",0.6,Excellent CNS MPO score suggests high target engagement in the brain.,0.4,"Chronic safety likely acceptable, though accumulation of lipophilic metabolites is a watchpoint.",0.88,
Lorazepam,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Anxiety; status epilepticus,Approved,1977,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,DIWRORZWFLOCLC-UHFFFAOYSA-N,3958,OK,8,"An elite optimization of the scaffold. The introduction of the C3-hydroxyl group is a masterstroke in 'Metabolic Shunting': it creates a direct handle for Phase II glucuronidation, bypassing complex P450 oxidative metabolism and reducing drug-drug interaction risks. The ortho-chloro substituent on the pendant phenyl ring forces a non-coplanar conformation, likely enhancing potency via entropy reduction. Despite the added polarity (OH), the cLogP (~2.4) and TPSA (~52) remain firmly in the CNS Goldilocks zone. This is a superior developability candidate. Tox Summary: Clean.",High,None,0.9,Direct glucuronidation pathway significantly de-risks hepatotoxicity and DDI potential.,0.7,Optimal physicochemical balance for potency and exposure.,0.55,Clean metabolic profile supports chronic dosing safety.,0.92,
Alprazolam,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Anxiety/panic disorder,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,VREFGVBLTWBCJP-UHFFFAOYSA-N,2118,OK,14,"A rigidified scaffold incorporating a fused triazole ring. This modification removes the labile amide functionality found in classic analogs, likely improving chemical stability and altering the metabolic profile. The methyl group on the triazole is a prime site for CYP3A4-mediated alpha-hydroxylation, which serves as a predictable clearance mechanism. The molecule maintains excellent CNS parameters (MW ~308, cLogP ~2.5). The triazole adds dipole character without blowing the TPSA budget. A highly potent, compact CNS vector. Tox Summary: Clean.",Medium,None,0.85,No structural alerts; triazole is a well-tolerated bioisostere.,0.65,Rigidification often correlates with higher affinity (lower entropic cost of binding).,0.45,Standard attrition risks for CNS agents.,0.85,
Clonazepam,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Seizures; panic disorder,Approved,1975,,,approved,CNS,,approved_control,Approved controls (success),,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,C1C(=O)NC2=C(C=C(C=C2)N+(=O)O-)C(=N1)C3=CC=CC=C3Cl,DGBIGWXXNGSACT-UHFFFAOYSA-N,2802,OK,45,"Significant structural alert detected: Nitroaromatic moiety. In a modern NCE audit, a nitro group is a 'Yellow Flag' bordering on Red. It introduces risks of reductive metabolism (nitroreductases) leading to reactive nitroso/hydroxylamine intermediates, which can be genotoxic (Ames positive risk) or hepatotoxic. While the physicochemical properties (cLogP ~2.5, MW ~315) are acceptable for CNS, the presence of the nitro group imposes a heavy 'Tox Tax'. Unless this specific electronic withdrawal is absolutely critical for binding where bioisosteres (e.g., CF3, CN) fail, this molecule is chemically inferior to halogenated analogs. Tox Summary: Not Clean (Nitroaromatic Alert).",Low,Nitroaromatic group (Reductive stress/Genotox risk),0.4,High risk of failure in Ames test or early tox studies due to nitro reduction.,0.2,Safety concerns likely to limit dose escalation.,0.05,Chronic dosing of nitroaromatics is historically difficult to justify against cleaner competitors.,0.35,
Temazepam,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Insomnia,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,SEQDDYPDSLOBDC-UHFFFAOYSA-N,5391,OK,12,"This structure combines the N-methyl feature of the first candidate with the C3-hydroxyl 'safety valve' of the second. The result is a balanced profile: the N-methyl group likely improves lipophilicity and membrane permeability slightly, while the C3-OH ensures a clean metabolic exit via glucuronidation. MW (300) and cLogP (~2.2) are pristine. It lacks the conformational lock of the ortho-chloro pendant ring seen in the second candidate, which might result in slightly lower potency, but the developability score remains elite. Tox Summary: Clean.",High,None,0.88,Predictable metabolism and clean functional groups.,0.65,Good CNS exposure expected.,0.5,Low risk of idiosyncratic toxicity due to glucuronidation clearance.,0.9,
Buspirone,Anxiolytic,5-HT1A receptor partial agonist,Generalized anxiety disorder,Approved,1986,,,approved,CNS,,approved_control,Approved controls (success),,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,QWCRAEMEVRGPNT-UHFFFAOYSA-N,2477,OK,35,"Classic CNS scaffold with acceptable physicochemical properties (MW < 400, TPSA ~75). The spiro-imide core provides good polarity balance against the lipophilic aryl-piperazine. However, the n-butyl linker is a 'floppy' entropic penalty that often invites metabolic oxidation (CYP3A4) and reduces LipE. The pyrimidinyl-piperazine tail is a 'privileged structure' but notoriously promiscuous (5-HT/DA/Adrenergic), requiring extensive selectivity screening. While developable, it lacks the rigidity of modern best-in-class CNS agents. Tox Summary: Clean, but watch for active metabolites (aryl-piperazine accumulation).",Medium,None (Standard CNS motifs),0.75,Standard CNS safety profile; main risk is sedation/dizziness from off-target GPCR hits.,0.45,High placebo response in anxiolytics; short half-life due to linker metabolism may limit efficacy.,0.2,Commercial viability limited by dosing frequency (likely BID/TID) compared to long-acting competitors.,0.0675,
Rimonabant,Antiobesity,Cannabinoid CB1 receptor inverse agonist,Obesity,Approved,2005 (UK),2008,Psychiatric toxicity,market_withdrawal,CNS,tox_safety,cns_psychiatric_toxicity,Withdrawn / restricted for safety,,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,JZCPYUJPEARBJL-UHFFFAOYSA-N,104850,OK,95,"CRITICAL FAILURE. This molecule is a 'Grease Ball' (cLogP likely > 5.5) violating the 'Grease Tax' rule. The structure contains a hydrazide-like motif (N-amino-piperidine amide), which is a structural alert for mutagenicity and idiosyncratic toxicity. Furthermore, the heavy halogen load (three chlorines) pushes lipophilicity to dangerous levels, ensuring high plasma protein binding and DILI risk (Rule of Two violation). The target class (Antiobesity/CB1) carries a massive 'Clinical Tax' due to psychiatric suicide risks associated with this mechanism. Tox Summary: Not Clean (Hydrazide alert + DILI risk + Psychiatric liability).",Low,"Hydrazide-like moiety, Heavy Chlorination (Lipophilicity)",0.2,High risk of DILI and non-linear PK due to solubility issues.,0.1,Mechanism-based psychiatric adverse events (suicidality) historically plague this class.,0.01,Regulatory hurdles for antiobesity CNS agents are insurmountable with this safety profile.,0.0002,
Sibutramine,Antiobesity,SERT and NET inhibition (SNRI),Obesity,Approved,1997,2010,Cardiovascular events,market_withdrawal,Metabolic,tox_safety,cardiovascular_risk,Withdrawn / restricted for safety,,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,UNAANXDKBXWMLN-UHFFFAOYSA-N,5210,OK,45,"Physicochemically efficient (low MW, compact), but structurally risky. The cyclobutane core is a clever spacer, but the molecule is essentially a 'Greasy Amine' (Lipophilic cation). This profile typically correlates with high BBB penetration but also indiscriminate binding to monoamine transporters (DAT/NET/SERT) and ion channels, leading to cardiovascular liabilities (QT prolongation, hypertension). While LipE is likely high, the safety margin for chronic metabolic indications is usually too narrow for this chemotype. Tox Summary: CV Risk (Sympathomimetic properties).",Medium,Secondary/Tertiary Aliphatic Amine (Promiscuity),0.6,Likely to show pressor effects (BP increase) or heart rate elevation in healthy volunteers.,0.3,"Efficacy in weight loss is probable, but CV safety signals will likely halt development.",0.1,CV outcome trials (CVOT) would likely fail due to sympathomimetic load.,0.018,
